city,city_ascii,state_id,state_name,name combo,county_fips,county_name,lat,lng,timezone,zips,id
University Park,University Park,TX,Texas,"University Park, Texas",48113,Dallas,32.8506,-96.7937,America/Chicago,75225 75205 75275,1840022055
Timberwood Park,Timberwood Park,TX,Texas,"Timberwood Park, Texas",48029,Bexar,29.6994,-98.4838,America/Chicago,78258 78260,1840019651
De Pere,De Pere,WI,Wisconsin,"De Pere, Wisconsin",55009,Brown,44.4309,-88.0785,America/Chicago,54115 54344,1840002348
Socastee,Socastee,SC,South Carolina,"Socastee, South Carolina",45051,Horry,33.6871,-79.0086,America/New_York,29588,1840013647
Terrytown,Terrytown,LA,Louisiana,"Terrytown, Louisiana",22051,Jefferson,29.9014,-90.0279,America/Chicago,70056,1840013990
Fajardo,Fajardo,PR,Puerto Rico,"Fajardo, Puerto Rico",72053,Fajardo,18.333,-65.6592,America/Puerto_Rico,00740 00738,1630035668
Marysville,Marysville,OH,Ohio,"Marysville, Ohio",39159,Union,40.2278,-83.3595,America/New_York,43040 43041,1840008355
Derby,Derby,KS,Kansas,"Derby, Kansas",20173,Sedgwick,37.5571,-97.2552,America/Chicago,67037,1840007569
Wilsonville,Wilsonville,OR,Oregon,"Wilsonville, Oregon",41005,Clackamas,45.3107,-122.7705,America/Los_Angeles,97070,1840021219
Clayton,Clayton,NC,North Carolina,"Clayton, North Carolina",37101,Johnston,35.6591,-78.4499,America/New_York,27520 27527 27528,1840016290
Brookings,Brookings,SD,South Dakota,"Brookings, South Dakota",46011,Brookings,44.3022,-96.7859,America/Chicago,57006 57007,1840002506
Riverbank,Riverbank,CA,California,"Riverbank, California",6099,Stanislaus,37.7268,-120.9402,America/Los_Angeles,95367,1840020286
North Laurel,North Laurel,MD,Maryland,"North Laurel, Maryland",24027,Howard,39.1286,-76.8476,America/New_York,20723,1840031495
Walker,Walker,MI,Michigan,"Walker, Michigan",26081,Kent,42.9853,-85.7446,America/Detroit,49544 49534,1840002925
Wyandotte,Wyandotte,MI,Michigan,"Wyandotte, Michigan",26163,Wayne,42.2113,-83.1558,America/Detroit,48192,1840001849
